component,action,start,end,duration,status,run
sorter,move_to_home_initial,1779173699.5908163,1779173706.1164544,6.525631666183472,ok,3
sorter,gripper_open,1779173706.1168354,1779173709.1203048,3.0034637451171875,ok,3
sorter,move_to_color_sensor,1779173709.1206455,1779173715.647577,6.526923656463623,ok,3
sorter,gripper_close,1779173715.6481674,1779173718.6574354,3.0092623233795166,ok,3
sorter,throwing_block,1779173718.6580217,1779173729.1910338,10.533007144927979,ok,3
sorter,gripper_close,1779173729.1916869,1779173732.1977787,3.006092071533203,ok,3
sorter,move_to_home_final,1779173732.1981168,1779173741.2274861,9.02936053276062,ok,3
controller,sorter_total,1779173699.5611103,1779173741.2872167,41.72610306739807,unknown,3
pickplace,move_to_home_initial,1779174043.4205058,1779174049.4419236,6.021408319473267,ok,4
pickplace,conveyor_belt_running_until_object_detected,1779174049.4510055,1779174050.5136254,1.0626194477081299,ok,4
pickplace,gripper_open,1779174050.5145173,1779174053.0221117,2.5075926780700684,ok,4
pickplace,move_to_pick,1779174053.0224679,1779174059.0517175,6.029244661331177,ok,4
pickplace,gripper_close,1779174059.0520568,1779174061.5559022,2.503835916519165,ok,4
pickplace,move_to_color_sensor,1779174061.556576,1779174070.0920804,8.5355064868927,ok,4
pickplace,gripper_open,1779174070.0924191,1779174072.596307,2.503883123397827,ok,4
pickplace,move_to_home_final,1779174072.5966346,1779174081.132058,8.53541874885559,ok,4
pickplace,gripper_close,1779174081.132389,1779174083.6365066,2.5041134357452393,ok,4
controller,pickplace_total,1779174043.3653913,1779174083.710485,40.345094203948975,unknown,4
controller,colorsensor_total,1779174083.7106805,1779174084.1397476,0.42906713485717773,unknown,4
sorter,move_to_home_initial,1779174084.1857753,1779174090.2086523,6.0228681564331055,ok,4
sorter,gripper_open,1779174090.2092988,1779174092.7190623,2.509762763977051,ok,4
sorter,move_to_color_sensor,1779174092.7194405,1779174098.7435465,6.0241029262542725,ok,4
sorter,gripper_close,1779174098.7438748,1779174101.2489784,2.5050995349884033,ok,4
sorter,throwing_block,1779174101.2493315,1779174111.283168,10.0338294506073,ok,4
sorter,gripper_close,1779174111.2838237,1779174113.7894945,2.505669593811035,ok,4
sorter,move_to_home_final,1779174113.7898297,1779174122.3176281,8.527790546417236,ok,4
controller,sorter_total,1779174084.1401503,1779174123.4934955,39.353344440460205,unknown,4
pickplace,move_to_home_initial,1779174601.8257637,1779174607.8531206,6.0273613929748535,ok,5
pickplace,conveyor_belt_running_until_object_detected,1779174607.8625453,1779174609.7651646,1.9026196002960205,ok,5
pickplace,gripper_open,1779174609.765579,1779174612.2727778,2.507193088531494,ok,5
pickplace,move_to_pick,1779174612.2731442,1779174618.2926126,6.019463777542114,ok,5
pickplace,gripper_close,1779174618.2929409,1779174620.802531,2.5095856189727783,ok,5
pickplace,move_to_color_sensor,1779174620.8028529,1779174629.3320787,8.529217720031738,ok,5
pickplace,gripper_open,1779174629.332669,1779174631.8422077,2.5095374584198,ok,5
pickplace,move_to_home_final,1779174631.8425572,1779174640.3817174,8.539151668548584,ok,5
pickplace,gripper_close,1779174640.3822937,1779174642.8909802,2.5086796283721924,ok,5
controller,pickplace_total,1779174601.7703586,1779174643.047737,41.27737522125244,unknown,5
controller,colorsensor_total,1779174643.0482075,1779174643.8940783,0.8458709716796875,unknown,5
sorter,move_to_home_initial,1779174643.9356315,1779174649.9564295,6.020792245864868,ok,5
sorter,gripper_open,1779174649.957073,1779174652.4664202,2.5093469619750977,ok,5
sorter,move_to_color_sensor,1779174652.4668407,1779174658.4863565,6.019511699676514,ok,5
sorter,gripper_close,1779174658.486683,1779174660.995368,2.508683204650879,ok,5
sorter,throwing_block,1779174660.9957151,1779174671.0291274,10.033408880233765,ok,5
sorter,gripper_close,1779174671.0294833,1779174673.5348606,2.505373239517212,ok,5
sorter,move_to_home_final,1779174673.5351887,1779174682.0650196,8.529826879501343,ok,5
controller,sorter_total,1779174643.8948367,1779174683.2927427,39.39790415763855,unknown,5
pickplace,move_to_home_initial,1779175020.7130036,1779175027.238179,6.525166273117065,ok,6
pickplace,conveyor_belt_running_until_object_detected,1779175027.2481465,1779175029.050123,1.8019802570343018,ok,6
pickplace,gripper_open,1779175029.0505285,1779175032.0590317,3.0084991455078125,ok,6
pickplace,move_to_pick,1779175032.0593843,1779175038.588118,6.528729438781738,ok,6
pickplace,gripper_close,1779175038.5884502,1779175041.5973582,3.0088982582092285,ok,6
pickplace,move_to_color_sensor,1779175041.597955,1779175050.6371403,9.039180040359497,ok,6
pickplace,gripper_open,1779175050.637741,1779175053.6473742,3.009589195251465,ok,6
pickplace,move_to_home_final,1779175053.6479778,1779175062.6866987,9.038717269897461,ok,6
pickplace,gripper_close,1779175062.6872346,1779175065.6958175,3.0085813999176025,ok,6
controller,pickplace_total,1779175020.631226,1779175065.7809663,45.14974045753479,unknown,6
controller,colorsensor_total,1779175065.7812138,1779175066.277641,0.49642491340637207,unknown,6
sorter,move_to_home_initial,1779175066.3786762,1779175072.9023888,6.523707151412964,ok,6
sorter,gripper_open,1779175072.9027793,1779175075.9118326,3.0090484619140625,ok,6
sorter,move_to_color_sensor,1779175075.91218,1779175082.432142,6.519958972930908,ok,6
sorter,gripper_close,1779175082.4324598,1779175085.4359176,3.0034544467926025,ok,6
sorter,throwing_block,1779175085.4362361,1779175095.9754407,10.539196729660034,ok,6
sorter,gripper_close,1779175095.9760385,1779175098.9813235,3.005284309387207,ok,6
sorter,move_to_home_final,1779175098.9816706,1779175108.0108871,9.029207229614258,ok,6
controller,sorter_total,1779175066.2782195,1779175108.27623,41.99800777435303,unknown,6
pickplace,move_to_home_initial,1779180108.8706458,1779180115.3964665,6.525815486907959,ok,7
pickplace,conveyor_belt_running_until_object_detected,1779180115.4001126,1779180117.1985276,1.7984135150909424,ok,7
pickplace,gripper_open,1779180117.1989567,1779180120.2066116,3.00764799118042,ok,7
pickplace,move_to_pick,1779180120.206951,1779180126.727382,6.520424127578735,ok,7
pickplace,gripper_close,1779180126.7279975,1779180129.737436,3.009434938430786,ok,7
pickplace,move_to_color_sensor,1779180129.7378082,1779180138.7679996,9.030188083648682,ok,7
pickplace,gripper_open,1779180138.7683337,1779180141.7779124,3.0095736980438232,ok,7
pickplace,move_to_home_final,1779180141.7782745,1779180150.8091795,9.030895233154297,ok,7
pickplace,gripper_close,1779180150.8098073,1779180153.8194847,3.009674549102783,ok,7
controller,pickplace_total,1779180108.828852,1779180155.0720773,46.243226528167725,unknown,7
controller,colorsensor_total,1779180155.07221,1779180155.5806766,0.5084655284881592,unknown,7
sorter,move_to_home_initial,1779180155.7318797,1779180162.2569475,6.525061845779419,ok,7
sorter,gripper_open,1779180162.2573266,1779180165.2608235,3.0034921169281006,ok,7
sorter,move_to_color_sensor,1779180165.2611487,1779180171.7881558,6.527003765106201,ok,7
sorter,gripper_close,1779180171.7884843,1779180174.7919934,3.003505229949951,ok,7
sorter,throwing_block,1779180174.7923095,1779180185.331701,10.539387226104736,ok,7
sorter,gripper_close,1779180185.3320312,1779180188.3389792,3.006943464279175,ok,7
sorter,move_to_home_final,1779180188.339314,1779180197.369625,9.030302047729492,ok,7
controller,sorter_total,1779180155.5812879,1779180197.422592,41.84130072593689,unknown,7
