component,action,start,end,duration,status
pickplace,move_to_home_initial,1779779712.1393108,1779779718.658937,6.519619703292847,ok
pickplace,conveyor_belt_running_until_object_detected,1779779718.668277,1779779719.1016958,0.43341708183288574,ok
pickplace,gripper_open,1779779719.1025836,1779779722.1089325,3.006343364715576,ok
pickplace,move_to_pick,1779779722.1095486,1779779728.639132,6.529577732086182,ok
pickplace,gripper_close,1779779728.639718,1779779731.6489365,3.009214162826538,ok
pickplace,move_to_color_sensor,1779779731.649598,1779779740.689083,9.039478778839111,ok
pickplace,gripper_open,1779779740.689707,1779779743.6987877,3.0090746879577637,ok
pickplace,move_to_home_final,1779779743.6993687,1779779752.7386656,9.039291143417358,ok
pickplace,gripper_close,1779779752.7392607,1779779755.748698,3.009431838989258,ok
controller,pickplace_total,1779779712.090636,1779779755.903119,43.81248116493225,ok
controller,colorsensor_total,1779779755.9034662,1779779756.3557365,0.4522683620452881,ok
sorter,move_to_home_initial,1779779756.4044921,1779779762.925161,6.520667314529419,ok
sorter,gripper_open,1779779762.9254935,1779779765.9289217,3.0034236907958984,ok
sorter,move_to_color_sensor,1779779765.9292767,1779779772.455697,6.526412725448608,ok
sorter,gripper_close,1779779772.4562716,1779779775.465357,3.009079933166504,ok
sorter,throwing_block,1779779775.4659173,1779779785.9988534,10.532930612564087,ok
sorter,gripper_close,1779779785.9994373,1779779789.005297,3.005854368209839,ok
sorter,move_to_home_final,1779779789.0058694,1779779798.0352352,9.029360294342041,ok
controller,sorter_total,1779779756.356616,1779779798.095301,41.738685131073,ok
pickplace,move_to_home_initial,1779779798.1359308,1779779804.6584206,6.522484540939331,ok
pickplace,conveyor_belt_running_until_object_detected,1779779804.668357,1779779805.420496,0.7521371841430664,ok
pickplace,gripper_open,1779779805.42186,1779779808.4289687,3.0071046352386475,ok
pickplace,move_to_pick,1779779808.429595,1779779814.9585855,6.528984069824219,ok
pickplace,gripper_close,1779779814.9591649,1779779817.9690263,3.009854555130005,ok
pickplace,move_to_color_sensor,1779779817.9696376,1779779827.0092092,9.03956651687622,ok
pickplace,gripper_open,1779779827.0098083,1779779830.018266,3.008450746536255,ok
pickplace,move_to_home_final,1779779830.018873,1779779839.0582435,9.039363384246826,ok
pickplace,gripper_close,1779779839.0588403,1779779842.0688946,3.010047674179077,ok
controller,pickplace_total,1779779798.0959933,1779779842.122877,44.02688431739807,ok
controller,colorsensor_total,1779779842.123274,1779779842.6264453,0.5031707286834717,ok
sorter,move_to_home_initial,1779779842.675693,1779779849.2049646,6.529267072677612,ok
sorter,gripper_open,1779779849.205613,1779779852.2146463,3.009026288986206,ok
sorter,move_to_color_sensor,1779779852.2152104,1779779858.7351458,6.519928932189941,ok
sorter,gripper_close,1779779858.7357173,1779779861.7455611,3.009838819503784,ok
sorter,move_to_conveyor,1779779861.7461472,1779779872.2941523,10.54800009727478,ok
sorter,gripper_close,1779779872.2947364,1779779875.2987266,3.003986358642578,ok
sorter,move_to_home_final,1779779875.299337,1779779884.334666,9.035324335098267,ok
controller,sorter_total,1779779842.627233,1779779884.398891,41.77165603637695,ok
pickplace,move_to_home_initial,1779779884.439565,1779779890.9681978,6.528627157211304,ok
pickplace,conveyor_belt_running_until_object_detected,1779779890.97739,1779779891.730471,0.7530820369720459,ok
pickplace,gripper_open,1779779891.731289,1779779894.7378728,3.006577730178833,ok
pickplace,move_to_pick,1779779894.738461,1779779901.258094,6.51962685585022,ok
pickplace,gripper_close,1779779901.258688,1779779904.2684636,3.0097692012786865,ok
pickplace,move_to_color_sensor,1779779904.2690372,1779779913.308683,9.039639234542847,ok
pickplace,gripper_open,1779779913.309324,1779779916.3177185,3.008390426635742,ok
pickplace,move_to_home_final,1779779916.3182867,1779779925.3482254,9.029931783676147,ok
pickplace,gripper_close,1779779925.3488066,1779779928.3576632,3.008849620819092,ok
controller,pickplace_total,1779779884.399577,1779779928.3999717,44.000393867492676,ok
controller,colorsensor_total,1779779928.4003773,1779779928.8283026,0.42792391777038574,ok
sorter,move_to_home_initial,1779779928.8745823,1779779935.3941524,6.5195605754852295,ok
sorter,gripper_open,1779779935.3947978,1779779938.4045577,3.0097527503967285,ok
sorter,move_to_color_sensor,1779779938.4051917,1779779944.9253175,6.520121335983276,ok
sorter,gripper_close,1779779944.9259017,1779779947.934359,3.008453369140625,ok
sorter,throwing_block,1779779947.9349391,1779779958.4681184,10.533173561096191,ok
sorter,gripper_close,1779779958.4686959,1779779961.474325,3.005624771118164,ok
sorter,move_to_home_final,1779779961.4748867,1779779970.5044124,9.029525518417358,ok
controller,sorter_total,1779779928.8291907,1779779970.7008336,41.87164783477783,ok
pickplace,move_to_home_initial,1779779970.741018,1779779977.26779,6.52676248550415,ok
pickplace,conveyor_belt_running_until_object_detected,1779779977.276861,1779779978.0271385,0.7502753734588623,ok
pickplace,gripper_open,1779779978.0280144,1779779981.0373166,3.009298324584961,ok
pickplace,move_to_pick,1779779981.0378804,1779779987.5576677,6.519781112670898,ok
pickplace,gripper_close,1779779987.558248,1779779990.5679867,3.009732723236084,ok
pickplace,move_to_color_sensor,1779779990.568552,1779779999.608213,9.039654016494751,ok
pickplace,gripper_open,1779779999.608793,1779780002.6172225,3.008423089981079,ok
pickplace,move_to_home_final,1779780002.6177964,1779780011.6477609,9.029963254928589,ok
pickplace,gripper_close,1779780011.6480966,1779780014.657013,3.0089075565338135,ok
controller,pickplace_total,1779779970.701069,1779780014.7183206,44.017247676849365,ok
controller,colorsensor_total,1779780014.7186651,1779780015.147297,0.4286317825317383,ok
sorter,move_to_home_initial,1779780015.1923873,1779780021.713696,6.521303653717041,ok
sorter,gripper_open,1779780021.7142773,1779780024.7182708,3.0039870738983154,ok
sorter,move_to_color_sensor,1779780024.7188344,1779780031.2449741,6.52613377571106,ok
sorter,gripper_close,1779780031.2456107,1779780034.2539248,3.0083096027374268,ok
sorter,throwing_block,1779780034.2544777,1779780044.793259,10.538775205612183,ok
sorter,gripper_close,1779780044.7938352,1779780047.7978828,3.0040411949157715,ok
sorter,move_to_home_final,1779780047.7984612,1779780056.8337831,9.035318613052368,ok
controller,sorter_total,1779780015.1481435,1779780056.8818848,41.73374080657959,ok
pickplace,move_to_home_initial,1779780056.9163203,1779780063.4366462,6.520320892333984,ok
pickplace,conveyor_belt_running_until_object_detected,1779780063.4458854,1779780064.1960697,0.750180721282959,ok
pickplace,gripper_open,1779780064.1969025,1779780067.2011893,3.0042803287506104,ok
pickplace,move_to_pick,1779780067.2017648,1779780073.727241,6.525470733642578,ok
pickplace,gripper_close,1779780073.7278216,1779780076.7370148,3.0091867446899414,ok
pickplace,move_to_color_sensor,1779780076.7376351,1779780085.7771683,9.039526462554932,ok
pickplace,gripper_open,1779780085.7777474,1779780088.7868783,3.0091257095336914,ok
pickplace,move_to_home_final,1779780088.7874043,1779780097.8168008,9.029389381408691,ok
pickplace,gripper_close,1779780097.817431,1779780100.8267972,3.0093610286712646,ok
controller,pickplace_total,1779780056.8825448,1779780100.8721476,43.98960041999817,ok
controller,colorsensor_total,1779780100.872601,1779780101.311387,0.43878793716430664,ok
sorter,move_to_home_initial,1779780101.346128,1779780107.8731081,6.526973247528076,ok
sorter,gripper_open,1779780107.873721,1779780110.8776598,3.003932476043701,ok
sorter,move_to_color_sensor,1779780110.8782458,1779780117.403811,6.525561809539795,ok
sorter,gripper_close,1779780117.4043975,1779780120.41359,3.0091872215270996,ok
sorter,move_to_conveyor,1779780120.4141774,1779780130.9467833,10.53260588645935,ok
sorter,gripper_close,1779780130.947119,1779780133.9532251,3.006096363067627,ok
sorter,move_to_home_final,1779780133.9538112,1779780142.9833748,9.029560327529907,ok
controller,sorter_total,1779780101.3125277,1779780143.0448542,41.73232579231262,ok
pickplace,move_to_home_initial,1779780143.0834951,1779780149.6065164,6.5230162143707275,ok
pickplace,conveyor_belt_running_until_object_detected,1779780149.61582,1779780151.6256707,2.0098483562469482,ok
pickplace,gripper_open,1779780151.626514,1779780154.6308224,3.004302978515625,ok
pickplace,move_to_pick,1779780154.6314118,1779780161.156731,6.525313138961792,ok
pickplace,gripper_close,1779780161.1573713,1779780164.166559,3.009183883666992,ok
pickplace,move_to_color_sensor,1779780164.1671286,1779780173.206738,9.039602518081665,ok
pickplace,gripper_open,1779780173.207344,1779780176.2165155,3.009165048599243,ok
pickplace,move_to_home_final,1779780176.2170982,1779780185.2566886,9.039584398269653,ok
pickplace,gripper_close,1779780185.2574103,1779780188.2663841,3.0089681148529053,ok
controller,pickplace_total,1779780143.0455372,1779780188.3386912,45.29315233230591,ok
controller,colorsensor_total,1779780188.3390582,1779780188.7607687,0.4217104911804199,ok
sorter,move_to_home_initial,1779780188.826277,1779780195.3527644,6.5264811515808105,ok
sorter,gripper_open,1779780195.3533773,1779780198.3573499,3.0039660930633545,ok
sorter,move_to_color_sensor,1779780198.357916,1779780204.8833754,6.525454998016357,ok
sorter,gripper_close,1779780204.8839474,1779780207.8930848,3.0091323852539062,ok
sorter,throwing_block,1779780207.8936944,1779780218.4272833,10.533583641052246,ok
sorter,gripper_close,1779780218.427842,1779780221.433045,3.005197286605835,ok
sorter,move_to_home_final,1779780221.433654,1779780230.462518,9.028858661651611,ok
controller,sorter_total,1779780188.7616415,1779780230.5218124,41.76016974449158,ok
pickplace,move_to_home_initial,1779780230.5819962,1779780237.1059306,6.523927211761475,ok
pickplace,conveyor_belt_running_until_object_detected,1779780237.1160476,1779780237.9759736,0.8599247932434082,ok
pickplace,gripper_open,1779780237.9768167,1779780240.9861183,3.009294271469116,ok
pickplace,move_to_pick,1779780240.9866974,1779780247.5064962,6.519792318344116,ok
pickplace,gripper_close,1779780247.5070722,1779780250.5167444,3.009669542312622,ok
pickplace,move_to_color_sensor,1779780250.9014487,1779780259.9370391,9.035586833953857,ok
pickplace,gripper_open,1779780259.9376824,1779780262.946074,3.0083870887756348,ok
pickplace,move_to_home_final,1779780262.9599552,1779780271.9964402,9.036479949951172,ok
pickplace,gripper_close,1779780271.997038,1779780275.0060816,3.009037733078003,ok
controller,pickplace_total,1779780230.5224338,1779780275.0621982,44.539764165878296,ok
controller,colorsensor_total,1779780275.0625362,1779780275.4702563,0.4077174663543701,ok
sorter,move_to_home_initial,1779780275.5255167,1779780282.0532477,6.527726650238037,ok
sorter,gripper_open,1779780282.0538547,1779780285.0627863,3.0089240074157715,ok
sorter,move_to_color_sensor,1779780285.0633776,1779780291.5830965,6.519714117050171,ok
sorter,gripper_close,1779780291.5836914,1779780294.5934706,3.009777545928955,ok
sorter,move_to_conveyor,1779780294.5938008,1779780305.1264083,10.53259825706482,ok
sorter,gripper_close,1779780305.1270263,1779780308.1333745,3.006342887878418,ok
sorter,move_to_home_final,1779780308.1339595,1779780317.1732936,9.039327621459961,ok
controller,sorter_total,1779780275.4721293,1779780317.2423918,41.770265340805054,ok
pickplace,move_to_home_initial,1779780317.2834342,1779780323.8058372,6.522395610809326,ok
pickplace,conveyor_belt_running_until_object_detected,1779780323.8158016,1779780325.0956292,1.2798266410827637,ok
pickplace,gripper_open,1779780325.0966601,1779780328.1058085,3.009143352508545,ok
pickplace,move_to_pick,1779780328.1063693,1779780334.6260698,6.519696235656738,ok
pickplace,gripper_close,1779780334.626644,1779780337.6364512,3.0098025798797607,ok
pickplace,move_to_color_sensor,1779780337.637028,1779780346.676646,9.03961706161499,ok
pickplace,gripper_open,1779780346.6770124,1779780349.6854975,3.008477210998535,ok
pickplace,move_to_home_final,1779780349.6860514,1779780358.7162697,9.030214309692383,ok
pickplace,gripper_close,1779780358.71683,1779780361.7257056,3.0088706016540527,ok
controller,pickplace_total,1779780317.2429483,1779780361.7823586,44.53941011428833,ok
controller,colorsensor_total,1779780361.782625,1779780362.190824,0.40819764137268066,ok
sorter,move_to_home_initial,1779780362.2276793,1779780368.7530007,6.525314807891846,ok
sorter,gripper_open,1779780368.7536309,1779780371.762438,3.0088047981262207,ok
sorter,move_to_color_sensor,1779780371.7627547,1779780378.2826543,6.519890308380127,ok
sorter,gripper_close,1779780378.28325,1779780381.2931814,3.009927272796631,ok
sorter,move_to_conveyor,1779780381.29382,1779780391.8418238,10.54799771308899,ok
sorter,gripper_close,1779780391.8423932,1779780394.8463807,3.003981351852417,ok
sorter,move_to_home_final,1779780394.8469577,1779780403.8823752,9.035412311553955,ok
controller,sorter_total,1779780362.191986,1779780403.9298103,41.73782277107239,ok
